Operating Airline,Published Airline,Source ,Destination,Terminal
ATA Airlines,Alaska Airlines,Alaska,LA,Terminal 3
ATA Airlines,Alaska Airlines,Alaska,LA,Terminal 1
ATA Airlines,Alaska Airlines,Alaska,LA,Terminal 1
ATA Airlines,Alaska Airlines,LA,Alaska,Terminal 2
ATA Airlines,Alaska Airlines,LA,Alaska,Terminal 2
ATA Airlines,Alaska Airlines,LA,Alaska,Terminal 3
ATA Airlines,Alaska Airlines,Alaska,Florida,Terminal 3A
ATA Airlines,Alaska Airlines,Alaska,Florida,Terminal 2A
ATA Airlines,Alaska Airlines,Florida,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Florida,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 3A
ATA Airlines,Alaska Airlines,Alaska,Florida,Terminal 3A
ATA Airlines,Alaska Airlines,Florida,Alaska,Terminal 2B
ATA Airlines,Alaska Airlines,Florida,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 2A
ATA Airlines,Alaska Airlines,,Chicago,Terminal 2A
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 1
,Alaska Airlines,Alaska,Chicago,Terminal 1
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 1
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 2A
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 1
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 2A
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
Air France,Air France,Heathrow,Paris,Terminal 5
Air France,Air France,Heathrow,Paris,Terminal 5
Air France,Air France,Heathrow,Paris,Terminal 5
Air France,Air France,Heathrow,Paris,Terminal 5
Air France,Air France,Heathrow,Paris,Terminal 3
Air France,Air France,Paris,Heathrow,Terminal 4
Air France,Air France,Paris,Heathrow,Terminal 4
Air France,Air France,Paris,Heathrow,Terminal 4
Air France,Air France,Paris,Heathrow,Terminal 4
Air France,Air France,Paris,Heathrow,Terminal 3
Air France,Air France,Bonn,Paris,Terminal 4
Air France,Air France,Bonn,Paris,Terminal 4
Air France,Air France,Bonn,Paris,Terminal 4
Air France,Air France,Heathrow,Paris,Terminal 5
ATA Airlines,Alaska Airlines,Alaska,LA,Terminal 3
ATA Airlines,Alaska Airlines,Alaska,LA,Terminal 1
ATA Airlines,Alaska Airlines,Alaska,LA,Terminal 1
ATA Airlines,Alaska Airlines,LA,Alaska,Terminal 2
ATA Airlines,Alaska Airlines,LA,Alaska,Terminal 2
ATA Airlines,Alaska Airlines,LA,Alaska,Terminal 3
ATA Airlines,Alaska Airlines,Alaska,Florida,Terminal 3A
ATA Airlines,Alaska Airlines,Alaska,Florida,Terminal 2A
ATA Airlines,Alaska Airlines,Florida,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Florida,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 3A
ATA Airlines,Alaska Airlines,Alaska,Florida,Terminal 3A
ATA Airlines,Alaska Airlines,Florida,Alaska,Terminal 2B
ATA Airlines,Alaska Airlines,Florida,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 2A
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 1
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 1
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 1
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Chicago,Alaska,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 2A
ATA Airlines,Alaska Airlines,Alaska,Chicago,Terminal 2A
